nome da empresa,"contato ","Tipo de patrocinador ","enviado ","respondida ","aceito ",recusado
Livraria do psicólogo,+55 31 8512-0927,livraria,No,No,No,No
Livraria Ouvidor,Ouvidorsp12@yahoo.com.br,livraria,No,No,No,No
Editora Artmed,info@secad.com.br,livraria,No,No,No,No
Grupo Gen (editora),faleconosco@grupogen.com.br,livraria,No,No,No,No
Aquila Livros (representante editora Atheneu,+55 31 9115-0051,livraria,No,No,No,No
Chillibeans,sac@chillibeans.com.br,ótica,Yes,No,No,No
Otica santos,mailto:contato@oticasantos.com,ótica,Yes,No,No,No
99 oticas,mailto:contato@99oticas.com.br,ótica,Yes,No,No,No
mercadotica,mailto:contato@oticasmercadotica.com.br,ótica,Yes,No,No,No
Óticas Carol,mailto:legalizacao@bicalho.com,ótica,Yes,No,No,No
Ótica View,mailto:aa.chaves@uol.com.br,ótica,Yes,No,No,No
Ótica Popular,mailto:atendimento@oticapopularmg.com.br +55 31 9393-1757,ótica,No,No,No,No
"Óticas Diniz ","comunicacao@oticasdiniz.com.br
+55 31 8216-4330",ótica,Yes,No,No,No
Zerezes,mailto:atendimento@zerezes.com.br,ótica,Yes,No,No,No
Ótica Prime,"contato@oticaprimebh.com.br
+55 31 7234-1873",ótica,No,No,No,No
Centro Visão,mailto:centrovisao@centrovisao.com.br,ótica,Yes,No,No,No
"optical fossali ",opticalfossalifilial@gmail.com,ótica,Yes,No,No,No
BH Jaraguá Hotel,+55 31 3232-9700,hotel,No,No,No,No
Allia Gran Pampulha Suítes,+55 31 3311-0100,hotel,No,No,No,No
Pousada Sossego da Pampulha,+55 31 3491-8020,hotel,No,No,No,No
Bristol Pampulha Lieu,+55 31 3490-3500,hotel,No,No,No,No
MHB Hotelaria (Stop inn Pampulha),mailto:comercial@mhbhotelaria.com.br,hotel,No,No,No,No
Bonther,(16) 99719-2279,insumos de laboratório,No,No,No,No
https://caltechlabor.com.br/," (31) 32348631 ou mailto:caltechlab@caltechlabor.com.br",insumos de laboratório,No,No,No,No
Alesco,Alesco (whatsapp)- https://api.whatsapp.com/send?phone=5519998521826 e +55 (19) 3879.2037,insumos de laboratório,No,No,No,No
Labmig,31 9 9366.9901,insumos de laboratório,No,No,No,No
GT Group,mailto:vendas@gtgroup.net.br,insumos de laboratório,No,No,No,No
Minas Labor,(31) 9 8709-1785 mailto:contato@minaslabor.com.br,insumos de laboratório,No,No,No,No
UpLab,(31) 996469074,insumos de laboratório,No,No,No,No
LabHouse,+55 31 9394-9069,insumos de laboratório,No,No,No,No
Qualis - soluções para saúde,(31) 98618-6635,insumos de laboratório,No,No,No,No
Iceltec,(31) 3303-9400 mailto:rodrigo@iceltec.com.br,insumos de laboratório,No,No,No,No
Labscience,+55 31 3272-8009,insumos de laboratório,No,No,No,No
Biosan,mailto:biosan@biosanbrasil.com.br,insumos de laboratório,No,No,No,No
Casalab,(31) 98348-3330,insumos de laboratório,No,No,No,No
Centerlab,mailto:comercial@centerlab.com.br,insumos de laboratório,No,No,No,No
"sintese biotecnologia ",juliana@sintesebio.com.br,insumos de laboratório,Yes,No,No,No
Restaurante da engenharia,falei pessoalmente,restaurante,No,No,No,No
HR Restaurante e Lanchonete (praça de serviços),"+55 31 9532-9500 ",restaurante,No,No,No,No
Abadarte Uniformes,mailto:abadarteuniformes@gmail.com,Camisas,Yes,No,No,No
Veste CW (camisas da ufmg),031996001827 mailto:comercial.vcw@gmail.com,Camisas,Yes,No,No,No
Bhz camisetas,031997578185 contato@bhzcamisetas.com.br,Camisas,Yes,No,No,No
Dobra Camisetas,mailto:contato@dobracamisetas.com.br 031987580424,Camisas,Yes,No,No,No
bh transfer  (lucas)," tel:3135164000  https://api.whatsapp.com/send?phone=5531975056157&text=Ol%C3%A1,%20estou%20entrando%20em%20contato%20pela%20p%C3%A1gina:%20https://bhtransfer.com/ mailto:vendasbhtransfer@gmail.com",Camisas,Yes,No,No,No
InPrint,mailto:inprint@inprintgrafica.com.br,gráfica,No,No,No,No
Lancopy Gráfica Digital,lancopy@gmail.com,gráfica,No,No,No,No
