nome da empresa,"Tipo de patrocinador ","aceito ","contato ","enviado ",recusado,"respondida "
Lancopy Gráfica Digital,gráfica,No,lancopy@gmail.com,No,No,No
Centerlab,insumos de laboratório,No,mailto:comercial@centerlab.com.br,No,No,No
"sintese biotecnologia ",insumos de laboratório,No,juliana@sintesebio.com.br,Yes,No,No
MHB Hotelaria (Stop inn Pampulha),hotel,No,mailto:comercial@mhbhotelaria.com.br,No,No,No
Biosan,insumos de laboratório,No,mailto:biosan@biosanbrasil.com.br,No,No,No
"optical fossali ",ótica,No,opticalfossalifilial@gmail.com,Yes,No,No
Aquila Livros (representante editora Atheneu,livraria,No,+55 31 9115-0051,No,No,No
Casalab,insumos de laboratório,No,(31) 98348-3330,No,No,No
bh transfer  (lucas),Camisas,No," tel:3135164000  https://api.whatsapp.com/send?phone=5531975056157&text=Ol%C3%A1,%20estou%20entrando%20em%20contato%20pela%20p%C3%A1gina:%20https://bhtransfer.com/ mailto:vendasbhtransfer@gmail.com",Yes,No,No
HR Restaurante e Lanchonete (praça de serviços),restaurante,No,"+55 31 9532-9500 ",No,No,No
Labscience,insumos de laboratório,No,+55 31 3272-8009,No,No,No
Iceltec,insumos de laboratório,No,(31) 3303-9400 mailto:rodrigo@iceltec.com.br,No,No,No
Qualis - soluções para saúde,insumos de laboratório,No,(31) 98618-6635,No,No,No
Bristol Pampulha Lieu,hotel,No,+55 31 3490-3500,No,No,No
LabHouse,insumos de laboratório,No,+55 31 9394-9069,No,No,No
Pousada Sossego da Pampulha,hotel,No,+55 31 3491-8020,No,No,No
Allia Gran Pampulha Suítes,hotel,No,+55 31 3311-0100,No,No,No
BH Jaraguá Hotel,hotel,No,+55 31 3232-9700,No,No,No
UpLab,insumos de laboratório,No,(31) 996469074,No,No,No
Minas Labor,insumos de laboratório,No,(31) 9 8709-1785 mailto:contato@minaslabor.com.br,No,No,No
GT Group,insumos de laboratório,No,mailto:vendas@gtgroup.net.br,No,No,No
Labmig,insumos de laboratório,No,31 9 9366.9901,No,No,No
Dobra Camisetas,Camisas,No,mailto:contato@dobracamisetas.com.br 031987580424,Yes,No,No
Bhz camisetas,Camisas,No,031997578185 contato@bhzcamisetas.com.br,Yes,No,No
Veste CW (camisas da ufmg),Camisas,No,031996001827 mailto:comercial.vcw@gmail.com,Yes,No,No
InPrint,gráfica,No,mailto:inprint@inprintgrafica.com.br,No,No,No
Centro Visão,ótica,No,mailto:centrovisao@centrovisao.com.br,Yes,No,No
Ótica Prime,ótica,No,"contato@oticaprimebh.com.br
+55 31 7234-1873",No,No,No
Zerezes,ótica,No,mailto:atendimento@zerezes.com.br,Yes,No,No
"Óticas Diniz ",ótica,No,"comunicacao@oticasdiniz.com.br
+55 31 8216-4330",Yes,No,No
Ótica Popular,ótica,No,mailto:atendimento@oticapopularmg.com.br +55 31 9393-1757,No,No,No
Grupo Gen (editora),livraria,No,faleconosco@grupogen.com.br,No,No,No
Editora Artmed,livraria,No,info@secad.com.br,No,No,No
Livraria Ouvidor,livraria,No,Ouvidorsp12@yahoo.com.br,No,No,No
Livraria do psicólogo,livraria,No,+55 31 8512-0927,No,No,No
Restaurante da engenharia,restaurante,No,falei pessoalmente,No,No,No
Alesco,insumos de laboratório,No,Alesco (whatsapp)- https://api.whatsapp.com/send?phone=5519998521826 e +55 (19) 3879.2037,No,No,No
https://caltechlabor.com.br/,insumos de laboratório,No," (31) 32348631 ou mailto:caltechlab@caltechlabor.com.br",No,No,No
Bonther,insumos de laboratório,No,(16) 99719-2279,No,No,No
Ótica View,ótica,No,mailto:aa.chaves@uol.com.br,Yes,No,No
Óticas Carol,ótica,No,mailto:legalizacao@bicalho.com,Yes,No,No
mercadotica,ótica,No,mailto:contato@oticasmercadotica.com.br,Yes,No,No
99 oticas,ótica,No,mailto:contato@99oticas.com.br,Yes,No,No
Otica santos,ótica,No,mailto:contato@oticasantos.com,Yes,No,No
Abadarte Uniformes,Camisas,No,mailto:abadarteuniformes@gmail.com,Yes,No,No
Chillibeans,ótica,No,sac@chillibeans.com.br,Yes,No,No
