nome da empresa,"contato ","Tipo de patrocinador ","enviado ","respondida ","aceito ",recusado
"sintese biotecnologia ",juliana@sintesebio.com.br,insumos de laboratório,Yes,No,No,Yes
"optical fossali ",opticalfossalifilial@gmail.com,ótica,Yes,No,No,Yes
Aquila Livros (representante editora Atheneu,+55 31 9115-0051,livraria / editora,Yes,Yes,No,Yes
Casalab,(31) 98348-3330,insumos de laboratório,Yes,No,No,Yes
Centerlab,mailto:comercial@centerlab.com.br,insumos de laboratório,Yes,No,No,Yes
Biosan,mailto:biosan@biosanbrasil.com.br,insumos de laboratório,Yes,Yes,No,Yes
MHB Hotelaria (Stop inn Pampulha),mailto:comercial@mhbhotelaria.com.br,hotel,Yes,Yes,Yes,No
Lancopy Gráfica Digital,lancopy@gmail.com,gráfica,Yes,Yes,Yes,No
bh transfer  (lucas)," tel:3135164000  https://api.whatsapp.com/send?phone=5531975056157&text=Ol%C3%A1,%20estou%20entrando%20em%20contato%20pela%20p%C3%A1gina:%20https://bhtransfer.com/",camisas,Yes,No,No,Yes
HR Restaurante e Lanchonete (praça de serviços),"+55 31 9532-9500 ",restaurante,Yes,Yes,No,Yes
Labscience,+55 31 3272-8009,insumos de laboratório,Yes,Yes,No,Yes
Iceltec,(31) 3303-9400 mailto:rodrigo@iceltec.com.br,insumos de laboratório,Yes,No,No,Yes
Qualis - soluções para saúde,(31) 98618-6635,insumos de laboratório,Yes,No,No,Yes
Bristol Pampulha Lieu,+55 31 3490-3500,hotel,Yes,No,No,Yes
LabHouse,+55 31 9394-9069,insumos de laboratório,Yes,Yes,No,Yes
Pousada Sossego da Pampulha,+55 31 3491-8020,hotel,Yes,No,No,Yes
Allia Gran Pampulha Suítes,+55 31 3311-0100,hotel,Yes,No,No,Yes
BH Jaraguá Hotel,+55 31 3232-9700,hotel,Yes,No,No,Yes
UpLab,(31) 996469074,insumos de laboratório,Yes,Yes,No,Yes
Minas Labor,(31) 9 8709-1785 mailto:contato@minaslabor.com.br,insumos de laboratório,Yes,No,No,Yes
GT Group,mailto:vendas@gtgroup.net.br,insumos de laboratório,Yes,No,No,Yes
Labmig,31 9 9366.9901,insumos de laboratório,Yes,No,No,Yes
Dobra Camisetas,mailto:contato@dobracamisetas.com.br 031987580424,camisetas,Yes,No,No,Yes
Bhz camisetas,031997578185,Camisetas,Yes,Yes,No,Yes
Veste CW (camisas da ufmg),031996001827 mailto:comercial.vcw@gmail.com,Camisas,Yes,No,No,No
InPrint,mailto:inprint@inprintgrafica.com.br,gráfica,Yes,Yes,No,No
Centro Visão,mailto:centrovisao@centrovisao.com.br,ótica,Yes,No,No,Yes
Zerezes,mailto:atendimento@zerezes.com.br,,No,No,No,No
Chilli Beans,,,No,No,No,No
Ótica Prime,+55 31 7234-1873,ótica,Yes,No,No,Yes
"Óticas Diniz ",+55 31 8216-4330,ótica,Yes,No,No,Yes
Ótica Popular,mailto:atendimento@oticapopularmg.com.br +55 31 9393-1757,ótica,Yes,No,No,Yes
Grupo Gen (editora),faleconosco@grupogen.com.br,editora de livros,Yes,No,No,Yes
Editora Artmed,info@secad.com.br,editora de livros,Yes,No,No,Yes
Livraria Ouvidor,Ouvidorsp12@yahoo.com.br,livraria,Yes,No,No,Yes
Livraria do psicólogo,+55 31 8512-0927,livraria,Yes,Yes,Yes,No
Restaurante da engenharia,falei pessoalmente,restaurante,Yes,No,No,No
