nome da empresa,"Tipo de patrocinador ","aceito ","contato ","enviado ",recusado,"respondida "
Livraria Ouvidor,livraria,No,Ouvidorsp12@yahoo.com.br,Yes,Yes,No
Zerezes,,No,mailto:atendimento@zerezes.com.br,No,No,No
Editora Artmed,editora de livros,No,info@secad.com.br,Yes,Yes,No
"Óticas Diniz ",ótica,No,+55 31 8216-4330,Yes,Yes,No
Pousada Sossego da Pampulha,hotel,No,+55 31 3491-8020,Yes,Yes,No
Ótica Popular,ótica,No,mailto:atendimento@oticapopularmg.com.br +55 31 9393-1757,Yes,Yes,No
Livraria do psicólogo,livraria,Yes,+55 31 8512-0927,Yes,No,Yes
GT Group,insumos de laboratório,No,mailto:vendas@gtgroup.net.br,Yes,Yes,No
Centro Visão,ótica,No,mailto:centrovisao@centrovisao.com.br,Yes,Yes,No
Iceltec,insumos de laboratório,No,(31) 3303-9400 mailto:rodrigo@iceltec.com.br,Yes,Yes,No
Ótica Prime,ótica,No,+55 31 7234-1873,Yes,Yes,No
Allia Gran Pampulha Suítes,hotel,No,+55 31 3311-0100,Yes,Yes,No
HR Restaurante e Lanchonete (praça de serviços),restaurante,No,"+55 31 9532-9500 ",Yes,Yes,Yes
Bhz camisetas,Camisetas,No,031997578185,Yes,Yes,Yes
UpLab,insumos de laboratório,No,(31) 996469074,Yes,Yes,Yes
Qualis - soluções para saúde,insumos de laboratório,No,(31) 98618-6635,Yes,Yes,No
Veste CW (camisas da ufmg),Camisas,No,031996001827 mailto:comercial.vcw@gmail.com,Yes,No,No
Grupo Gen (editora),editora de livros,No,faleconosco@grupogen.com.br,Yes,Yes,No
Minas Labor,insumos de laboratório,No,(31) 9 8709-1785 mailto:contato@minaslabor.com.br,Yes,Yes,No
BH Jaraguá Hotel,hotel,No,+55 31 3232-9700,Yes,Yes,No
InPrint,gráfica,No,mailto:inprint@inprintgrafica.com.br,Yes,No,Yes
Bristol Pampulha Lieu,hotel,No,+55 31 3490-3500,Yes,Yes,No
Labmig,insumos de laboratório,No,31 9 9366.9901,Yes,Yes,No
Restaurante da engenharia,restaurante,No,falei pessoalmente,Yes,No,No
LabHouse,insumos de laboratório,No,+55 31 9394-9069,Yes,Yes,Yes
Lancopy Gráfica Digital,gráfica,Yes,lancopy@gmail.com,Yes,No,Yes
Labscience,insumos de laboratório,No,+55 31 3272-8009,Yes,Yes,Yes
Chilli Beans,,No,,No,No,No
Dobra Camisetas,camisetas,No,mailto:contato@dobracamisetas.com.br 031987580424,Yes,Yes,No
MHB Hotelaria (Stop inn Pampulha),hotel,Yes,mailto:comercial@mhbhotelaria.com.br,Yes,No,Yes
"optical fossali ",ótica,No,opticalfossalifilial@gmail.com,Yes,Yes,No
Aquila Livros (representante editora Atheneu,livraria / editora,No,+55 31 9115-0051,Yes,Yes,Yes
Biosan,insumos de laboratório,No,mailto:biosan@biosanbrasil.com.br,Yes,Yes,Yes
Centerlab,insumos de laboratório,No,mailto:comercial@centerlab.com.br,Yes,Yes,No
Casalab,insumos de laboratório,No,(31) 98348-3330,Yes,Yes,No
"sintese biotecnologia ",insumos de laboratório,No,juliana@sintesebio.com.br,Yes,Yes,No
bh transfer  (lucas),camisas,No," tel:3135164000  https://api.whatsapp.com/send?phone=5531975056157&text=Ol%C3%A1,%20estou%20entrando%20em%20contato%20pela%20p%C3%A1gina:%20https://bhtransfer.com/",Yes,Yes,No
