Data e horário,Palestra (min),Perguntas (min),Nome da Sessão,Sessão #,Palestra,Palestrante,Modalidade,AI summary
,,,,,,,,
7 de novembro de 2024 8:30 (BRT) → 9:00,30,0,MESA SOLENE DE ABERTURA,-,—,"Alessandro Fernandes Moreira | Vice-Reitor da UFMG
Renato César Cardoso | Sub-Coordenador do PPG Neurociências da UFMG
Ricardo Guimarães | Diretor do HOlhos de Minas Gerais e organizador do Congresso
Jerome Baron | Coordenador do 11º CBNV",Presencial,
7 de novembro de 2024 9:00 (BRT) → 9:02,2,0,Sincronização Circadiana pela Luz e seus Impactos,1,—,Moderador,Presencial,
7 de novembro de 2024 9:00 (BRT) → 9:20,20,0,Sincronização Circadiana pela Luz e seus Impactos,1,Glaucoma como modelo de quebra dos ritmos biológicos: impacto sobre a regulação dos relógios periféricos,Maria Nathália Moraes,Presencial,
7 de novembro de 2024 9:20 (BRT) → 9:40,20,0,Sincronização Circadiana pela Luz e seus Impactos,1,,Marco Túlio de Mello,Presencial,
7 de novembro de 2024 9:40 (BRT) → 10:00,20,0,Sincronização Circadiana pela Luz e seus Impactos,1," ",Cleiton Lopes Aguiar,Presencial,
7 de novembro de 2024 10:00 (BRT) → 10:30,30,30,Debate,1,,,,
7 de novembro de 2024 10:30 (BRT) → 11:00,30,,—,-,Coffee Break 1,Coffee Break,Presencial,
7 de novembro de 2024 11:00 (BRT) → 11:45,2,0,Neuroproteção: Inovações em Neuroftalmologia e Terapia Gênica,2,—,Moderador,Presencial,
7 de novembro de 2024 11:00 (BRT) → 11:45,30,15,Neuroproteção: Inovações em Neuroftalmologia e Terapia Gênica,2,Avaliação multimodal da hipertensão Intracraniana: O que há de novo em neuroftalmologia ?,Guilherme Santos,Presencial,
7 de novembro de 2024 11:45 (BRT) → 12:30,30,15,Neuroproteção: Inovações em Neuroftalmologia e Terapia Gênica,2,Terapia gênica neuroprotetora e regenerativa para a neurodegeneração glaucomatosa.,Vinicius de Toledo Ribas,Presencial,
7 de novembro de 2024 12:30 (BRT) → 14:00,90,,ALMOÇO,-,ALMOÇO,_,Presencial,
7 de novembro de 2024 14:00 (BRT) → 14:50,2,0,Visão e Saúde Mental,3,—,Moderador,Presencial,
7 de novembro de 2024 14:00 (BRT) → 14:45,30,15,Visão e Saúde Mental,3,Autismo: reduzindo a sobrecarga sensorial com contraste e eye-tracking,Márcia Guimarães,Presencial,
7 de novembro de 2024 14:45 (BRT) → 15:20,25,10,Visão e Saúde Mental,3,Análise de ‘registros perdidos’ em experimentos de eyetracking no autismo,Pedro Brandão Belisário,Presencial,
7 de novembro de 2024 15:20 (BRT) → 15:55,25,10,Visão e Saúde Mental,3,Alterações funcionais na via magnocelular em TDAH,Laura Nequini de Faria,Presencial,
7 de novembro de 2024 16:00 (BRT) → 16:30,30,,-,-,Coffee Break 2,Coffee Break,Presencial,
7 de novembro de 2024 16:30 (BRT) → 17:15,30,15,Visão e Saúde Mental,3,Zebrafish e camundungos na pesquisa sobre saúde mental: um diferente ponto de vista,Bruno Rezende de Souza,Presencial,
7 de novembro de 2024 17:15 (BRT) → 18:00,30,15,Visão e Saúde Mental,3,Redefinição de Saúde e Doença pelo modelo de Sobrecarga Alostática,Ricardo Guimarães,Presencial,
8 de novembro de 2024 8:30 (BRT) → 9:15,2,0,"Ver, na Ponta de um Eletrodo",4,—,Moderador,Presencial,
8 de novembro de 2024 8:30 (BRT) → 9:15,30,15,"Ver, na Ponta de um Eletrodo",4,Controlando disparos neuronais rítmicos com estimulação elétrica transcraniana,Pedro Vieira,Online,
8 de novembro de 2024 9:15 (BRT) → 10:00,30,15,"Ver, na Ponta de um Eletrodo",4,"Coerente para quem? Um padrão não esperado de sincronização no córtex visual  ", Bruss Lima,Presencial,
8 de novembro de 2024 10:00 (BRT) → 10:30,30,,—,-,Coffee Break 3,Coffee Break,Presencial,
8 de novembro de 2024 10:30 (BRT) → 11:15,30,15,"Ver, na Ponta de um Eletrodo",4,A pororoca visual: Estudos Funcionais do núcleo geniculado lateral em Humanos,Sergio Neuenschwander,Presencial,
8 de novembro de 2024 11:15 (BRT) → 11:15,2,0,—,5,—,Moderador,,
8 de novembro de 2024 11:15 (BRT) → 12:00,30,15,Visão Ativa: A Percepção em Ação,5,"Visão e ação, ou vice-versa ",Gustavo Rohenkohl,Presencial,
8 de novembro de 2024 12:00 (BRT) → 12:45,30,15,Visão Ativa: A Percepção em Ação,5,Visão Dinâmica: Por que ainda Medimos o Estático em um Mundo em Movimento?,Ricardo Guimarães,Presencial,
8 de novembro de 2024 12:45 (BRT) → 14:00,90,,ALMOÇO,-,ALMOÇO,_,Presencial,
8 de novembro de 2024 14:00 (BRT) → 14:40,30,10,"Sistemas Visuais e Ecologia Comportamental ",6,Importância dos ocelos e DRA para as abelhas navegarem sob diferentes condições de luz,Priscila Araújo,Online,
