Palestra,AI summary,Data e horário,Modalidade,Nome da Sessão,Palestra (min),Palestrante,Perguntas (min),Sessão #
Avaliação multimodal da hipertensão Intracraniana: O que há de novo em neuroftalmologia ?,,7 de novembro de 2024 11:00 (BRT) → 11:45,Presencial,Neuroproteção: Inovações em Neuroftalmologia e Terapia Gênica,30,Guilherme Santos,15,2
,,7 de novembro de 2024 9:20 (BRT) → 9:40,Presencial,Sincronização Circadiana pela Luz e seus Impactos,20,Marco Túlio de Mello,0,1
—,,7 de novembro de 2024 8:30 (BRT) → 9:00,Presencial,MESA SOLENE DE ABERTURA,30,"Alessandro Fernandes Moreira | Vice-Reitor da UFMG
Renato César Cardoso | Sub-Coordenador do PPG Neurociências da UFMG
Ricardo Guimarães | Diretor do HOlhos de Minas Gerais e organizador do Congresso
Jerome Baron | Coordenador do 11º CBNV",0,-
" ",,7 de novembro de 2024 9:40 (BRT) → 10:00,Presencial,Sincronização Circadiana pela Luz e seus Impactos,20,Cleiton Lopes Aguiar,0,1
,,,,,,,,
Terapia gênica neuroprotetora e regenerativa para a neurodegeneração glaucomatosa.,,7 de novembro de 2024 11:45 (BRT) → 12:30,Presencial,Neuroproteção: Inovações em Neuroftalmologia e Terapia Gênica,30,Vinicius de Toledo Ribas,15,2
Autismo: reduzindo a sobrecarga sensorial com contraste e eye-tracking,,7 de novembro de 2024 14:00 (BRT) → 14:45,Presencial,Visão e Saúde Mental,30,Márcia Guimarães,15,3
ALMOÇO,,7 de novembro de 2024 12:30 (BRT) → 14:00,Presencial,ALMOÇO,90,_,,-
Análise de ‘registros perdidos’ em experimentos de eyetracking no autismo,,7 de novembro de 2024 14:45 (BRT) → 15:20,Presencial,Visão e Saúde Mental,25,Pedro Brandão Belisário,10,3
Alterações funcionais na via magnocelular em TDAH,,7 de novembro de 2024 15:20 (BRT) → 15:55,Presencial,Visão e Saúde Mental,25,Laura Nequini de Faria,10,3
Coffee Break 1,,7 de novembro de 2024 10:30 (BRT) → 11:00,Presencial,—,30,Coffee Break,,-
Coffee Break 2,,7 de novembro de 2024 16:00 (BRT) → 16:30,Presencial,-,30,Coffee Break,,-
Controlando disparos neuronais rítmicos com estimulação elétrica transcraniana,,8 de novembro de 2024 8:30 (BRT) → 9:15,Online,"Ver, na Ponta de um Eletrodo",30,Pedro Vieira,15,4
—,,7 de novembro de 2024 9:00 (BRT) → 9:02,Presencial,Sincronização Circadiana pela Luz e seus Impactos,2,Moderador,0,1
Redefinição de Saúde e Doença pelo modelo de Sobrecarga Alostática,,7 de novembro de 2024 17:15 (BRT) → 18:00,Presencial,Visão e Saúde Mental,30,Ricardo Guimarães,15,3
Zebrafish e camundungos na pesquisa sobre saúde mental: um diferente ponto de vista,,7 de novembro de 2024 16:30 (BRT) → 17:15,Presencial,Visão e Saúde Mental,30,Bruno Rezende de Souza,15,3
